key,summary,category,full_name,description,acceptable,targeted,description_cs,acceptable_cs,targeted_cs,evaluate_type,format_type,is_species_specific,alert_name,help_description
mean_fragments_per_noncell,FALSE,Noise,Mean fragments per non-cell barcode,,250,50,,250,50,lt,int,FALSE,,
median_fragments_per_noncell,FALSE,Noise,Median fragments per non-cell barcode,,250,50,,250,50,lt,int,FALSE,,"Among barcodes not identified as cells, the median number of fragments per barcode."
mean_fragments_per_cell,FALSE,Sensitivity,Mean fragments per cell barcode,,7500,22500,,7500,22500,gt,int,TRUE,,
median_fragments_per_cell,TRUE,Sensitivity,Median fragments per cell,"The median number of fragments (that passed all filters) detected in single cells is expected to be above 12,000.  A lower value suggests low sensitivity, potentially due to insufficient sequencing.",4000,12000,"The median number of fragments (that passed all filters) detected in single cells is expected to be above 500.  A lower value suggests low sensitivity, potentially due to insufficient sequencing.",500,,gt,int,TRUE,Median fragments per cell is low,"Among barcodes identified as cells, the median number of fragments per barcode."
median_frags_overlapping_peaks_per_cell,FALSE,Sensitivity,Median fragments overlapping peaks per cell barcode,,2000,3000,,2000,3000,gt,int,TRUE,,
min_fragments_per_cell,FALSE,Sensitivity,Minimum fragments per cell barcode,,5000,15000,,5000,15000,gt,int,TRUE,,
stdev_fragments_per_cell,FALSE,Sensitivity,Standard deviation in fragments per cell barcode,,2500,1000,,2500,1000,lt,float,TRUE,,
total_peaks_detected,FALSE,Peak Calling,Peaks detected,,,,,,,,int,FALSE,,"Number of genomic sites found with enriched chromatin accessibility. Enrichment is calculated using all the fragments (in cell and non-cell barcodes)."
frac_cut_fragments_in_peaks,TRUE,Peak Calling,Fraction of transposition events in peaks in cell barcodes,It is expected that more than 35% of the transposition events fall within peak regions.  A lower value could suggest peak undercalling or low sequencing depth.,0.15,0.35,It is expected that more than 25% of the transposition events fall within peak regions.  A lower value could suggest peak undercalling or low sequencing depth.,0.05,0.25,gt,percentage,FALSE,The percentage of transposition events falling within peaks is low,"Transposition events are located at both ends of fragments that pass all filters. This metric measures the percentage of such events that fall in called peaks."
peakcaller_alpha_bg_noise,FALSE,Peak Calling,Fitted dispersion for noise component of cutsite count distribution,,,,,,,,float,FALSE,,
